Data Set 1:Time(s),Data Set 1:Position 1(m),Data Set 1:Velocity 1(m/s),Data Set 1:Acceleration 1(m/s²),Data Set 1:Position 2(m),Data Set 1:Velocity 2(m/s),Data Set 1:Acceleration 2(m/s²),Data Set 2:Time(s),Data Set 2:Position 1(m),Data Set 2:Velocity 1(m/s),Data Set 2:Acceleration 1(m/s²),Data Set 2:Position 2(m),Data Set 2:Velocity 2(m/s),Data Set 2:Acceleration 2(m/s²),Data Set 3:Time(s),Data Set 3:Position 1(m),Data Set 3:Velocity 1(m/s),Data Set 3:Acceleration 1(m/s²),Data Set 3:Position 2(m),Data Set 3:Velocity 2(m/s),Data Set 3:Acceleration 2(m/s²),Data Set 4:Time(s),Data Set 4:Position 1(m),Data Set 4:Velocity 1(m/s),Data Set 4:Acceleration 1(m/s²),Data Set 4:Position 2(m),Data Set 4:Velocity 2(m/s),Data Set 4:Acceleration 2(m/s²),Data Set 5:Time(s),Data Set 5:Position 1(m),Data Set 5:Velocity 1(m/s),Data Set 5:Acceleration 1(m/s²),Data Set 5:Position 2(m),Data Set 5:Velocity 2(m/s),Data Set 5:Acceleration 2(m/s²),Data Set 6:Time(s),Data Set 6:Position 1(m),Data Set 6:Velocity 1(m/s),Data Set 6:Acceleration 1(m/s²),Data Set 6:Position 2(m),Data Set 6:Velocity 2(m/s),Data Set 6:Acceleration 2(m/s²),Data Set 7:Time(s),Data Set 7:Position 1(m),Data Set 7:Velocity 1(m/s),Data Set 7:Acceleration 1(m/s²),Data Set 7:Position 2(m),Data Set 7:Velocity 2(m/s),Data Set 7:Acceleration 2(m/s²)
2.300000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.300000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.300000000000,0.245000004768,0.102888875537,-0.369105248907,,,,2.300000000000,0.245000004768,-0.003555549516,0.193086593055,,,,2.300000000000,0.592400014400,-0.136611229844,-0.260001899284,,,,2.300000000000,0.862900018692,0.201277732849,-1.551450972940,0.759899973869,-0.112555556827,-1.404135260317,2.300000000000,0.904600024223,0.010944472419,-0.358055955098,0.688499987125,-0.263222455978,-0.396171929660
2.350000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.350000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.350000000000,0.273600012064,-0.004500034783,-1.093611581090,,,,2.350000000000,0.248099997640,0.009888898995,0.019753071261,,,,2.350000000000,0.585099995136,-0.150333477391,-0.231203841574,,,,2.350000000000,0.869499981403,0.106055604087,-1.445122578262,0.752300024033,-0.203277766705,-1.460278622898,2.350000000000,0.904999971390,0.001166661580,-0.178519148885,0.674399971962,-0.273111032115,-0.181664673635
2.400000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.400000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.400000000000,0.246700003743,-0.128333427840,0.231481384900,,,,2.400000000000,0.247700005770,-0.009277769261,-0.052531086552,,,,2.400000000000,0.577199995518,-0.160722302066,-0.171542370025,,,,2.400000000000,0.871900022030,0.041111277209,-0.995277640996,0.738799989223,-0.278777976831,-1.096142368552,2.400000000000,0.904600024223,-0.004222260581,-0.072531567680,0.661000013351,-0.276555452082,-0.076696883749
2.450000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.450000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.450000000000,0.245299994946,0.009277744426,1.559166830999,,,,2.450000000000,0.245700001717,-0.004388930069,0.035895158847,,,,2.450000000000,0.568899989128,-0.167555577225,-0.104968102626,,,,2.450000000000,0.872200012207,0.007944504420,-0.532871024844,0.722599983215,-0.317333406872,-0.608332547141,2.450000000000,0.904299974442,-0.003889070617,-0.023733649725,0.646799981594,-0.279666549630,-0.015772032885
2.500000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.500000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.500000000000,0.246000006795,0.161666605208,0.595586622755,,,,2.500000000000,0.247099995613,0.002166678508,0.008889384292,,,,2.500000000000,0.560299992561,-0.170944399304,-0.043240152759,,,,2.500000000000,0.871900022030,-0.004111064805,-0.228766232361,0.706099987030,-0.331444475386,-0.261758654206,2.500000000000,0.904299974442,-0.004666480753,-0.016820669910,0.632700026035,-0.276833242840,0.010275932742
2.550000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.550000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.550000000000,0.272199988365,0.131222150392,-1.315400156158,,,,2.550000000000,0.246700003743,-0.002444394761,-0.030308474361,,,,2.550000000000,0.551699995995,-0.171499947707,0.011666505425,,,,2.550000000000,0.871500015259,-0.007499986225,-0.094785366529,0.689199984074,-0.336000025272,-0.084258781539,2.550000000000,0.903900027275,-0.006111131774,-0.005218331461,0.619300007820,-0.276833540863,0.001326368915
2.600000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.600000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.600000000000,0.272199988365,-0.107777681616,-0.893332353897,,,,2.600000000000,0.246700003743,-0.004944412245,-0.009969378143,,,,2.600000000000,0.543099999428,-0.170055528482,0.068548616068,,,,2.600000000000,0.871200025082,-0.010222262806,-0.049724788577,0.672299981117,-0.335388878981,-0.022900950761,2.600000000000,0.903599977493,-0.005944735474,0.015709135267,0.605099976063,-0.277944472101,0.009599751160
2.650000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.650000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.650000000000,0.246000006795,-0.091611006194,1.721141547149,,,,2.650000000000,0.246000006795,-0.004611098104,0.035524262506,,,,2.650000000000,0.534500002861,-0.164666738775,0.123055159678,,,,2.650000000000,0.870500028133,-0.012722578314,-0.015032512170,0.655799984932,-0.336611072222,-0.011451027276,2.650000000000,0.903199970722,-0.003944569164,0.024507535093,0.591300010681,-0.275944372018,0.018487502763
2.700000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.700000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.700000000000,0.245000004768,0.231611124343,1.446511242309,,,,2.700000000000,0.246000006795,0.000833297769,0.046759098768,,,,2.700000000000,0.526499986649,-0.156388945050,0.154630389111,,,,2.700000000000,0.869799971581,-0.012500352330,0.027254794115,0.638599991798,-0.337111155192,0.002283170635,2.700000000000,0.903199970722,-0.001944469081,0.006359429271,0.577600002289,-0.275333457523,0.017098705342
2.750000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.750000000000,3.599999904633,0.000000000000,0.000000000000,3.599999904633,0.000000000000,0.000000000000,2.750000000000,0.290100008249,0.196944359276,-1.407531230354,,,,2.750000000000,0.246399998665,0.001166661580,0.033055701190,,,,2.750000000000,0.518999993801,-0.149333311452,0.184013823300,,,,2.750000000000,0.869099974632,-0.009388923645,0.055465451729,0.621999979019,-0.336055656274,0.010493820832,2.750000000000,0.903199970722,-0.003277725644,-0.011326593381,0.563799977303,-0.274888873100,0.024692107130
